transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Automatic,0.5851602224980227,Sedan,0.5776796017468651,Camry 2.5 Hybrid,0.6877978260236047,Toyota,média-baixa,0.9847733374715463,17.0,2021.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,2494.0,Petrol,0.1808108436013733,24000.0,157.7,First Owner,0.1513159043723507,42.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Wagon R LXI CNG BSVI,0.6877978260236047,Maruti,muito baixa,0.5146410003069729,21.7,2022.0,Jaipur,1.2805577942736048,Zero Dep,1.3090775235586007,5.0,998.0,CNG,1.5242096868527688,15333.0,55.9,First Owner,0.1513159043723507,6.0
Manual,0.13063448358318142,SUV,0.6002632621852876,Quanto C8,0.29955356632334845,Mahindra,baixa,0.2695348073865004,21.5,2015.0,Hyderabad,1.027129429868669,Third Party,0.2561672213768721,7.0,1493.0,Diesel,0.5145358569867878,110000.0,100.0,Third Owner,1.3553447922231374,3.0
Manual,0.13063448358318142,Sedan,0.5776796017468651,Ciaz VDI SHVS,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,15.26,2017.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,5.0,1248.0,Diesel,0.5145358569867878,30000.0,88.5,First Owner,0.1513159043723507,6.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Santro Asta BSIV,0.29955356632334845,Hyundai,baixa,0.2695348073865004,20.7,2019.0,Jaipur,1.2805577942736048,Comprehensive,0.44691375314468196,5.0,1086.0,Petrol,0.1808108436013733,27153.0,68.0,Second Owner,0.6196441032904012,4.8
Manual,0.13063448358318142,SUV,0.6002632621852876,XUV300 W8 BSVI,0.6877978260236047,Mahindra,baixa,0.2695348073865004,17.1,2020.0,Jaipur,1.2805577942736048,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,40000.0,108.6,First Owner,0.1513159043723507,8.5
Manual,0.13063448358318142,Hatchback,0.36313833386560074,S-Presso VXI CNG 2019-2020,0.6877978260236047,Maruti,muito baixa,0.5146410003069729,21.1,2021.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,4.0,998.0,CNG,1.5242096868527688,39855.0,58.3,First Owner,0.1513159043723507,4.65
Automatic,0.5851602224980227,Hatchback,0.36313833386560074,Grand i10 Nios AMT Sportz,0.6877978260236047,Hyundai,baixa,0.2695348073865004,28.4,2021.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,20000.0,81.8,First Owner,0.1513159043723507,7.25
Manual,0.13063448358318142,Sedan,0.5776796017468651,Swift Dzire ZXi,0.5993676774303471,Maruti,muito baixa,0.5146410003069729,20.77,2010.0,Kolkata,1.1705962136349577,Third Party,0.2561672213768721,5.0,1298.0,Petrol,0.1808108436013733,74000.0,85.8,First Owner,0.1513159043723507,2.35
Automatic,0.5851602224980227,Sedan,0.5776796017468651,Verna VTVT 1.6 AT SX Option,0.29955356632334845,Hyundai,baixa,0.2695348073865004,21.21,2018.0,Pune,1.0951613137788256,Third Party,0.2561672213768721,5.0,1591.0,Petrol,0.1808108436013733,50000.0,121.3,First Owner,0.1513159043723507,10.5
Manual,0.13063448358318142,SUV,0.6002632621852876,Terrano XL,0.29955356632334845,Nissan,baixa,0.2695348073865004,22.38,2017.0,Hyderabad,1.027129429868669,Third Party,0.2561672213768721,5.0,1598.0,Petrol,0.1808108436013733,46000.0,102.5,First Owner,0.1513159043723507,7.75
Manual,0.13063448358318142,Hatchback,0.36313833386560074,i20 1.2 Magna Opt,0.5993676774303471,Hyundai,baixa,0.2695348073865004,22.05,2011.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,72874.0,78.91,First Owner,0.1513159043723507,2.44
Manual,0.13063448358318142,SUV,0.6002632621852876,Ecosport 1.5 Diesel Titanium Plus,0.29955356632334845,Ford,baixa,0.2695348073865004,22.54,2016.0,Delhi,0.768863215945781,Comprehensive,0.44691375314468196,5.0,1498.0,Diesel,0.5145358569867878,48000.0,98.9,First Owner,0.1513159043723507,5.5
Automatic,0.5851602224980227,SUV,0.6002632621852876,Nexon 1.5 Revotorq XZA Plus,0.29955356632334845,Tata,baixa,0.2695348073865004,22.38,2018.0,Hyderabad,1.027129429868669,Third Party,0.2561672213768721,5.0,1497.0,Diesel,0.5145358569867878,40000.0,108.5,First Owner,0.1513159043723507,12.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Polo IPL II 1.6 Petrol Highline,0.5993676774303471,Volkswagen,baixa,0.2695348073865004,16.9,2010.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1598.0,Petrol,0.1808108436013733,60000.0,103.5,Second Owner,0.6196441032904012,1.6
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Grand i10 Nios Sportz,0.6877978260236047,Hyundai,baixa,0.2695348073865004,26.0,2020.0,Hyderabad,1.027129429868669,Zero Dep,1.3090775235586007,5.0,1197.0,Petrol,0.1808108436013733,40051.0,81.8,Second Owner,0.6196441032904012,6.45
Manual,0.13063448358318142,SUV,0.6002632621852876,Compass 2.0 Sport Plus BSIV,0.29955356632334845,Jeep,média-baixa,0.9847733374715463,16.1,2019.0,Jaipur,1.2805577942736048,Comprehensive,0.44691375314468196,5.0,1956.0,Diesel,0.5145358569867878,9106.0,170.0,First Owner,0.1513159043723507,18.9
Manual,0.13063448358318142,Hatchback,0.36313833386560074,EON Era Plus Option,0.29955356632334845,Hyundai,baixa,0.2695348073865004,14.82,2017.0,Bangalore,0.8686148605655614,Comprehensive,0.44691375314468196,5.0,814.0,Petrol,0.1808108436013733,19949.0,55.2,First Owner,0.1513159043723507,3.98
