marca,id_marcas,engine_capacity,id_insurance,insurance,id_transmissao,transmission_type,ano,kms_driven,owner_type,id_owner_type,fuel_type,id_fuel_type,max_power,seats,mileage,id_body_type,body_type,id_city,city,resale_price_Lakh
Toyota,1.3828395027895357,2494.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2014.0,75000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,100.6,8.0,12.99,1.347596982231442,MUV,0.8683204154856445,Bangalore,13.15
Maruti,0.5414395158001966,998.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2017.0,47756.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,67.0,5.0,20.51,0.36411207029700055,Hatchback,1.13052790997428,Chennai,4.1
Ford,1.4718160923587613,1597.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2004.0,80000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,92.0,5.0,14.2,0.5780531058996504,Sedan,0.8683204154856445,Bangalore,0.56
Maruti,0.5414395158001966,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,99536.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,83.1,5.0,21.4,0.36411207029700055,Hatchback,1.170307007311498,Kolkata,4.5
Honda,0.9762380635245456,1497.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2018.0,50000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,117.6,5.0,18.0,0.5780531058996504,Sedan,1.170307007311498,Kolkata,7.25
Maruti,0.5414395158001966,1462.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2019.0,3089.0,Third Owner,1.365235730644157,Petrol,0.18033354506727076,103.2,5.0,21.56,0.5780531058996504,Sedan,1.170307007311498,Kolkata,7.23
Hyundai,0.6776651860522321,1999.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2022.0,20000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,156.9,6.0,14.2,0.5988691236058242,SUV,1.0271992077985115,Hyderabad,21.0
Chevrolet,2.024110573415636,936.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2013.0,67000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,57.6,5.0,25.44,0.36411207029700055,Hatchback,1.13052790997428,Chennai,2.85
Maruti,0.5414395158001966,1462.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2018.0,44752.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,103.2,5.0,21.56,0.5780531058996504,Sedan,1.2231987490929124,Gurgaon,7.68
Volkswagen,1.488427805103007,1498.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2016.0,63000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,108.6,5.0,22.0,0.5780531058996504,Sedan,0.8683204154856445,Bangalore,6.85
Maruti,0.5414395158001966,1373.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,60000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,91.1,5.0,20.73,0.5780531058996504,Sedan,1.1117169408591543,Ahmedabad,5.22
Hyundai,0.6776651860522321,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2020.0,22480.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,20.7,0.36411207029700055,Hatchback,1.281577182241788,Jaipur,5.02
Maruti,0.5414395158001966,998.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2020.0,63285.0,First Owner,0.15046506698925197,CNG,1.5302191084460808,58.3,5.0,32.52,0.36411207029700055,Hatchback,0.9227099304234485,Mumbai,6.22
